nom;adresse_complete;arrondissement;ville;petite_couronne;type;prix_eur_pers;prix_moyen_eur;budget_meteo;description_courte;statut;saisonnier;acces;lat;lng;inclure_app;avec_solo;avec_duo;avec_potos;avec_pro;pour_tranquillo;pour_allocco;pour_resto;pour_gastro;pour_incognito;pour_apero;budget_grand_soleil;budget_nuageux;budget_pluie;fiabilite;notes_app;source_url;date_verification
Le Tout-Paris;8 Quai du Louvre, 75001 Paris;01;Paris;0;restaurant / bar palace;100 €+;120;pluie;Adresse palace du Cheval Blanc avec terrasse et vue Seine / Pont-Neuf.;ouvert;toute l'annee;public / reservation indispensable;48.859121;2.342073;1;0;1;0;1;0;0;1;1;0;1;0;0;1;bonne;;https://www.chevalblanc.com/en/maison/paris/restaurants-and-bars/le-tout-paris/;2026-06-14
ROOF Paris;43 Rue Étienne Marcel, 75001 Paris;01;Paris;0;bar / restaurant / jardin suspendu;20-50 €;35;nuageux;Grand rooftop végétalisé de Madame Rêve, central, beau panorama et ambiance mode.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.864884;2.344227;1;1;1;1;1;0;1;1;0;0;1;0;1;0;bonne;;https://madamereve.com/restaurants/roof/;2026-06-14
Rooftop Eminente - Drawing Hotel;17 Rue de Richelieu, 75001 Paris;01;Paris;0;bar a cocktails / rooftop confidentiel;15-30 €;25;grand soleil;Petit rooftop caché près du Palais-Royal, esprit cubain et cocktails.;a verifier saison;saisonnier / pop-up;public / reservation conseillee;;;1;1;1;0;1;1;1;0;0;1;1;1;0;0;a verifier;A garder si la saison/pop-up 2026 est active au moment d'afficher.;https://www.sortiraparis.com/hotel-restaurant/bar-cafes/articles/328034-au-drawing-hotel-un-rooftop-confidentiel-a-l-esprit-cubain-debarque-a-paris-pres-du-louvre;2026-06-14
Sequoia Rooftop Bar;27-29 Bd des Capucines, 75002 Paris;02;Paris;0;bar a cocktails / rooftop hotel chic;40-50 €;45;pluie;Rooftop chic du Kimpton St Honoré, vue centrale, ambiance premium et cocktails.;ouvert;toute l'annee;public / reservation conseillee;48.868548;2.318290;1;0;1;0;1;0;1;0;0;1;1;0;0;1;bonne;;https://www.kimptonsthonoreparis.com/us/en/sequoia-rooftop-bar/;2026-06-14
The Shed;17 Bd Poissonnière, 75002 Paris;02;Paris;0;bar a cocktails / rooftop cache;15-30 €;22;grand soleil;Rooftop discret de l'Hotel des Grands Boulevards, petit, cosy et plus cache que panoramique.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.869973;2.334171;1;1;1;0;1;1;1;0;0;1;1;1;0;0;bonne;;https://www.grandsboulevardshotel.com/;2026-06-14
Rooftop National;243 Rue Saint-Martin, 75003 Paris;03;Paris;0;bar rooftop / hotel design;20-30 €;25;grand soleil;Rooftop compact et central de l'Hotel National des Arts et Metiers, vue sur les toits.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.863537;2.347753;1;1;1;0;1;1;1;0;0;1;1;1;0;0;bonne;;https://www.hotelnational.paris/;2026-06-14
Bonnie;10 Rue Agrippa d'Aubigné, 75004 Paris;04;Paris;0;restaurant / bar rooftop chic;100 €+;100;pluie;Rooftop du SO/Paris avec vue Seine, Notre-Dame, Eiffel et ambiance très chic.;ouvert;toute l'annee;public / reservation indispensable;48.849978;2.362514;1;0;1;1;1;0;1;1;1;0;1;0;0;1;bonne;;https://bonnie-restaurant.com/paris/;2026-06-14
Terraza Mikuna;1 Rue des Archives, 75004 Paris;04;Paris;0;bar a cocktails / restaurant latino / rooftop;20-70 €;45;pluie;Rooftop latino au BHV Marais, vegetal, festif, cocktails et cuisine sud-americaine.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.857810;2.353330;1;0;1;1;0;0;1;1;0;0;1;0;0;1;bonne;;https://www.terrassamikuna.com/;2026-06-14
Le Toit de la Tour;15 Quai de la Tournelle, 75005 Paris;05;Paris;0;bar / rooftop gastronomique;40-80 €;60;pluie;Rooftop de la Tour d'Argent, vue Seine / Notre-Dame, champagne et cocktails.;ouvert;toute l'annee / selon meteo;public / reservation indispensable;48.849142;2.354306;1;0;1;0;1;0;1;0;1;1;1;0;0;1;bonne;;https://tourdargent.com/;2026-06-14
Rooftop Bar Dame des Arts;4 Rue Danton, 75006 Paris;06;Paris;0;bar rooftop / hotel;10-60 €;35;nuageux;Rooftop rive gauche, vue Notre-Dame, Eiffel et toits du quartier Saint-Michel.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.853904;2.337882;1;1;1;1;1;1;1;0;0;0;1;0;1;0;bonne;;https://hoteldamedesarts.com/;2026-06-14
Kinugawa Rive Gauche;55 Av. de Saxe, 75007 Paris;07;Paris;0;restaurant japonais / rooftop palace;100 €+;110;pluie;Restaurant japonais perché au sommet de l'Hotel Sax avec rooftop et vue Eiffel.;ouvert;toute l'annee / rooftop selon meteo;public / reservation indispensable;;;1;0;1;0;1;0;0;1;1;0;1;0;0;1;bonne;;https://kinu-gawa.com/en-rivegauche.html;2026-06-14
Les Ombres;27 Quai Jacques Chirac, 75007 Paris;07;Paris;0;restaurant gastronomique / rooftop musee;80-140 €;100;pluie;Restaurant sur le toit du musée du Quai Branly, terrasse panoramique et vue Eiffel.;ouvert;toute l'annee;public / reservation indispensable;;;1;0;1;0;1;0;0;1;1;0;1;0;0;1;bonne;;https://www.lesombres-restaurant.com/en/;2026-06-14
Terrasse du Musée d'Orsay;Esplanade Valéry Giscard d'Estaing, 75007 Paris;07;Paris;0;terrasse rooftop musee / bar saisonnier;15-30 € + billet musee;25;grand soleil;Terrasse au-dessus de la Seine, ouverte en saison estivale, boissons et petites assiettes.;ouvert saison;ete seulement / selon meteo;avec billet musee / horaires musee;48.859961;2.326561;1;1;1;0;1;1;0;0;0;1;1;1;0;0;bonne;;https://www.musee-orsay.fr/en/visit/restaurants%20and%20caf%C3%A9s;2026-06-14
FUGA R;28 Rue de Monceau, 75008 Paris;08;Paris;0;restaurant / rooftop 360 / bar;20-30 €;25;grand soleil;Rooftop au 12e étage près du parc Monceau, déco Canaries, vue 360 et accès discret.;ouvert;saisonnier / selon meteo;public / reservation conseillee;;;1;0;1;1;1;0;1;1;0;1;1;1;0;0;bonne;;https://fugafamily.com/en/restaurants/fuga-rooftop;2026-06-14
Le Rooftop - Hotel Fouquet's Paris;46 Av. George V, 75008 Paris;08;Paris;0;restaurant / rooftop hotel luxe;60-120 €;90;pluie;Rooftop premium du Fouquet's, adresse Champs-Elysees / George V.;ouvert;toute l'annee / selon meteo;public / reservation indispensable;;;1;0;1;0;1;0;0;1;1;1;1;0;0;1;bonne;;https://www.hotelsbarriere.com/paris/le-fouquets/restaurants-et-bars/le-rooftop.html;2026-06-14
Mun Paris;52 Av. des Champs-Élysées, 75008 Paris;08;Paris;0;restaurant asiatique / terrasse rooftop;100 €+;110;pluie;Restaurant asiatique haut de gamme avec terrasse perchée sur les Champs-Elysees.;ouvert;toute l'annee / selon meteo;public / reservation indispensable;;;1;0;1;0;1;0;0;1;1;0;1;0;0;1;bonne;;https://munparis.com/;2026-06-14
PLEY Rooftop;216 Rue du Faubourg Saint-Honoré, 75008 Paris;08;Paris;0;bar / restaurant rooftop hotel;10-20 €;18;grand soleil;Rooftop d'hôtel avec aperitivo, cocktails et ambiance afterwork.;ouvert;saisonnier / selon meteo;public / reservation conseillee;;;1;1;1;1;1;0;1;1;0;0;1;1;0;0;bonne;;https://pley-hotel.com/en/page/restaurant-bar-rooftop-paris.8302.html;2026-06-14
Balcon Paris - Galeries Lafayette;25 Rue de la Chaussée d'Antin, 75009 Paris;09;Paris;0;restaurant / rooftop grand magasin;20-60 €;35;nuageux;Rooftop très touristique des Galeries Lafayette, vue Opera et toits de Paris.;ouvert;toute l'annee / selon meteo;public;48.873409;2.328004;1;1;1;1;0;1;0;1;0;0;1;0;1;0;bonne;;https://www.galerieslafayette.com/magasin-haussmann/restaurants;2026-06-14
Créatures Paris;Galeries Lafayette Paris Haussmann, 25 Rue de la Chaussée d'Antin, 75009 Paris;09;Paris;0;restaurant vegetarien / rooftop saisonnier;25-50 €;35;nuageux;Rooftop végétarien saisonnier sur les Galeries Lafayette, vue Opera et Tour Eiffel.;ouvert saison / a verifier;ete seulement;public / reservation conseillee;48.873409;2.328004;1;1;1;1;0;0;0;1;0;0;1;0;1;0;a verifier;A activer seulement si la saison Créatures est confirmée.;https://www.galerieslafayette.com/magasin-haussmann/food-court/creatures;2026-06-14
Maggie Rooftop;55 Bd Marguerite de Rochechouart, 75009 Paris;09;Paris;0;restaurant / bar rooftop;30-80 €;45;pluie;Rooftop de l'Hotel Rochechouart, vue Sacré-Coeur, Pigalle chic et coucher de soleil.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.882163;2.339618;1;0;1;1;1;0;1;1;0;0;1;0;0;1;bonne;;https://www.orsohotels.com/hotel-rochechouart/rooftop-restaurant-maggie;2026-06-14
Perruche;Printemps de l'Homme, 2 Rue du Havre, 9e étage, 75009 Paris;09;Paris;0;restaurant mediterraneen / rooftop;30-80 €;50;pluie;Grand rooftop du Printemps, vue Opera, Eiffel et toits de Paris, ambiance solaire.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.872906;2.322927;1;0;1;1;1;0;1;1;0;0;1;0;0;1;bonne;;https://perruche-restaurant.com/paris/;2026-06-14
Khayma Rooftop;9-11 Place du Colonel Fabien, 75010 Paris;10;Paris;0;bar rooftop / hostel;10-20 €;15;grand soleil;Rooftop jeune et accessible du Generator, vue Sacré-Coeur, idéal apéro simple.;ouvert;toute l'annee / selon meteo;public;48.878349;2.362068;1;1;1;1;0;1;1;0;0;0;1;1;0;0;bonne;;https://generatorhostels.com/destinations/paris/;2026-06-14
Le Perchoir Ménilmontant;14 Rue Camille Crespin du Gast, 75011 Paris;11;Paris;0;bar / restaurant / rooftop festif;15-35 €;25;grand soleil;Classique rooftop de l'Est parisien, ambiance branchée et festive.;ouvert;toute l'annee / selon meteo;public / file possible;48.863454;2.372165;1;0;1;1;0;0;1;1;0;0;1;1;0;0;bonne;;https://leperchoir.fr/;2026-06-14
Laho Rooftop;5-9 Rue Van Gogh, 75012 Paris;12;Paris;0;bar / restaurant / rooftop evenementiel;10-30 €;22;grand soleil;Rooftop à 60 m près de Gare de Lyon, vue très dégagée, DJ et événements.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.843539;2.368916;1;0;1;1;1;0;1;1;0;0;1;1;0;0;bonne;;https://www.laho-rooftop.fr/;2026-06-14
TOO TacTac Skybar;65 Rue Bruneseau, 75013 Paris;13;Paris;0;skybar / restaurant / live music;25-60 €;40;nuageux;Skybar très haut du TOO Hotel, vue Seine, Eiffel et monuments, privatisable.;ouvert;toute l'annee;public / reservation conseillee;48.825739;2.374621;1;0;1;1;1;0;1;1;0;0;1;0;1;0;bonne;;https://toohotel.com/en/tac-tac-skybar-en/;2026-06-14
Skybar Paris Rooftop;19 Rue du Commandant René Mouchotte, 75014 Paris;14;Paris;0;cocktail bar / skybar hotel;20-80 €;50;pluie;Bar du Pullman Montparnasse au 32e étage, panorama spectaculaire et ambiance lounge.;ouvert;toute l'annee;public / reservation conseillee;48.838810;2.296433;1;0;1;1;1;0;1;0;0;1;1;0;0;1;bonne;;https://www.skybarparis.com/;2026-06-14
10ème Ciel - Rooftop Bar Paris;18 Av. de Suffren, 75015 Paris;15;Paris;0;bar rooftop pop-up / vue Tour Eiffel;20-70 €;45;pluie;Rooftop pop-up face a la Tour Eiffel au Pullman Paris Tour Eiffel.;temporairement ferme / pop-up;saisonnier / pop-up;public quand actif;48.856726;2.290269;0;0;1;1;0;0;1;0;0;0;1;0;0;1;a verifier;"Business listing indique temporairement fermé; ne pas afficher tant que non réouvert.";https://www.therooftopguide.com/rooftop-bars-in-paris.html;2026-06-14
ILVOLO Bar Rooftop;257 Rue de Vaugirard, 7e étage, 75015 Paris;15;Paris;0;bar / restaurant italien / rooftop;10-20 €;18;grand soleil;Rooftop italien du Novotel Vaugirard, bon afterwork avec vue Tour Eiffel.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.840341;2.296442;1;1;1;1;1;0;1;1;0;0;1;1;0;0;bonne;;https://www.ilvolo-paris.com/;2026-06-14
Villa M Rooftop;24-30 Bd Pasteur, 75015 Paris;15;Paris;0;restaurant / bar rooftop vegetal;25-50 €;35;nuageux;Rooftop végétal de Villa M, vue Eiffel, Montparnasse et Invalides, cadre confidentiel.;ouvert saison;mai a septembre / selon meteo;public / reservation conseillee;;;1;1;1;0;1;1;0;1;0;1;1;0;1;0;bonne;;https://www.hotelvillam-paris15.com/restaurant-rooftop;2026-06-14
Auteuil Brasserie;78 Rue d'Auteuil, 75016 Paris;16;Paris;0;brasserie / terrasse rooftop vegetalisee;20-60 €;40;nuageux;Grande brasserie végétalisée avec terrasse en hauteur, plus conviviale que skybar.;ouvert;toute l'annee;public / reservation conseillee;;;1;1;1;1;1;0;0;1;0;0;1;0;1;0;bonne;;https://auteuil.paris/;2026-06-14
Brach Rooftop;1-7 Rue Jean Richepin, 75016 Paris;16;Paris;0;bar rooftop / hotel luxe;30-40 €;35;nuageux;Rooftop-jardin du Brach, vue Tour Eiffel, potager et ambiance hôtel design.;ouvert;toute l'annee / selon meteo;public / clients hotel / reservation conseillee;48.858650;2.276450;1;0;1;0;1;1;1;0;0;1;1;0;1;0;bonne;;https://brachparis.com/;2026-06-14
Eylau Paris Rooftop Bar;16 Av. d'Eylau, 75116 Paris;16;Paris;0;bar rooftop / hotel;10-60 €;35;nuageux;Rooftop du Canopy by Hilton Paris Trocadéro, vue Eiffel, ambiance calme et chic.;ouvert / a verifier horaires;toute l'annee / selon meteo;public / reservation conseillee;48.864677;2.282012;1;1;1;0;1;1;1;0;0;0;1;0;1;0;a verifier;;https://www.hilton.com/en/hotels/parptpy-canopy-paris-trocadero/dining/;2026-06-14
Hôtel Raphael Rooftop;17 Av. Kléber, 75116 Paris;16;Paris;0;bar / restaurant rooftop hotel luxe;40-90 €;65;pluie;Rooftop classique et confidentiel de l'hôtel Raphael, ouvert d'avril a septembre.;ouvert saison / a verifier;avril a septembre;public / reservation conseillee;;;1;0;1;0;1;1;0;0;1;1;1;0;0;1;a verifier;;https://www.raphael-hotel.com/en/;2026-06-14
L'Oiseau Blanc;19 Av. Kléber, 75116 Paris;16;Paris;0;restaurant gastronomique / rooftop palace;100 €+;140;pluie;Restaurant rooftop du Peninsula, gastronomie, vue Tour Eiffel, très premium.;ouvert;toute l'annee;public / reservation indispensable;48.870660;2.287961;1;0;1;0;1;0;0;1;1;0;1;0;0;1;bonne;;https://www.peninsula.com/en/paris/hotel-fine-dining/loiseau-blanc-rooftop-restaurant;2026-06-14
La Suite Girafe;1 Pl. du Trocadéro et du 11 Novembre, 75016 Paris;16;Paris;0;restaurant / terrasse rooftop luxe;80-140 €;100;pluie;Adresse Paris Society au Palais de Chaillot, vue Tour Eiffel, cuisine chic.;ouvert;toute l'annee / selon meteo;public / reservation indispensable;;;1;0;1;0;1;0;0;1;1;0;1;0;0;1;bonne;;https://girafe-restaurant.com/la-suite/;2026-06-14
Restaurant Toit Terrasse Molitor;6 Av. de la Porte Molitor, 75016 Paris;16;Paris;0;restaurant rooftop / hotel piscine;30-90 €;60;pluie;Rooftop de Molitor, ambiance piscine mythique, ouest parisien et beaux jours.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.844409;2.252352;1;0;1;1;1;0;0;1;0;0;1;0;0;1;bonne;;https://molitorparis.com/;2026-06-14
Zoku Paris - The Living Kitchen;48 Av. de la Porte de Clichy, Floor 8, 75017 Paris;17;Paris;0;rooftop restaurant / bar / coworking;20-40 €;30;nuageux;Rooftop social et lumineux face au Tribunal de Paris, bon pour coworking, lunch et afterwork.;ouvert;toute l'annee;public / reservation conseillee;;;1;1;1;1;1;1;0;1;0;0;1;0;1;0;bonne;;https://livezoku.com/paris/rooftop-bar-in-paris/;2026-06-14
Bar a Bulles;4 Cité Véron, 75018 Paris;18;Paris;0;bar / brunch / terrasse cachee;10-20 €;15;grand soleil;Terrasse cachée de la Machine du Moulin Rouge, bohème, culturelle et accessible.;ouvert;toute l'annee / selon meteo;public;48.884330;2.333760;1;1;1;1;0;1;1;0;0;1;1;1;0;0;bonne;;https://www.lamachinedumoulinrouge.com/le-bar-a-bulles/;2026-06-14
Coeur Sacre;5 Rue Saint-Éleuthère, 75018 Paris;18;Paris;0;restaurant / bar / rooftop Montmartre;10-50 €;30;nuageux;Lieu en hauteur à Montmartre, vue Sacré-Coeur et Tour Eiffel, plutôt journée et apéro.;ouvert;toute l'annee;public;;;1;1;1;1;0;1;0;1;0;0;1;0;1;0;bonne;;https://paris-society-events.com/salles/coeur-sacre/;2026-06-14
Plantation Paris;37 Rue des Cheminots, 75018 Paris;18;Paris;0;ferme urbaine / rooftop evenementiel;10-30 €;20;grand soleil;Immense ferme urbaine en toiture, alternatif, events, week-end et ambiance outdoor.;ouvert saison / a verifier;saisonnier;public selon programmation;;;1;1;1;1;0;1;0;0;0;1;1;1;0;0;a verifier;;https://www.plantation.paris/;2026-06-14
Station M by Maison Montmartre;32 Av. de la Porte de Montmartre, 75018 Paris;18;Paris;0;restaurant / bar rooftop hotel;20-30 €;25;grand soleil;Rooftop d'hôtel au nord de Montmartre, bon pour brunch, apéro et groupe calme.;ouvert;toute l'annee;public;;;1;1;1;1;1;1;0;1;0;0;1;1;0;0;bonne;;https://hotelmaisonmontmartre.com/en/page/paris-rooftop-bar-restaurant.38219.html;2026-06-14
Terrass'' Rooftop Bar;12 Rue Joseph de Maistre, 75018 Paris;18;Paris;0;bar rooftop / hotel;10-50 €;30;nuageux;Rooftop de Montmartre avec vue Eiffel et Paris, classique pour coucher de soleil.;ouvert;toute l'annee;public / reservation conseillee;48.885675;2.328959;1;1;1;1;1;1;1;0;0;0;1;0;1;0;bonne;;https://www.terrass-hotel.com/;2026-06-14
Le Toit de La Bellevilloise;19-21 Rue Boyer, 75020 Paris;20;Paris;0;bar rooftop / culturel;10-30 €;20;grand soleil;Rooftop populaire et culturel de Belleville/Ménilmontant, bon pour potes et apéro.;ouvert;saisonnier / selon meteo;public;48.872182;2.386794;1;1;1;1;0;1;1;0;0;0;1;1;0;0;bonne;;https://www.labellevilloise.com/;2026-06-14
Mama Shelter Paris East Rooftop;109 Rue de Bagnolet, 75020 Paris;20;Paris;0;bar / restaurant rooftop hotel;15-35 €;25;grand soleil;Rooftop détendu avec esprit groupe, babyfoot/ping-pong selon saison, pas le plus panoramique.;ouvert / rooftop selon saison;saisonnier / selon meteo;public / reservation conseillee;48.858705;2.390287;1;1;1;1;0;1;0;1;0;0;1;1;0;0;bonne;;https://mamashelter.com/paris-east/eat-drink/;2026-06-14
Skyline Paris Lounge & Bar;Hotel Meliá Paris La Défense, 4 Espl. du Général de Gaulle, 92400 Courbevoie;;Courbevoie;1;bar rooftop / hotel / skyline;10-50 €;30;nuageux;Rooftop Grand Paris à La Défense, vue skyline et Paris, utile si tu inclus petite couronne.;ouvert;toute l'annee / selon meteo;public / reservation conseillee;48.889372;2.244494;1;0;1;1;1;1;1;0;0;0;1;0;1;0;bonne;;https://www.melia.com/en/hotels/france/paris/melia-paris-la-defense/restaurants/skyline-paris-lounge-bar;2026-06-14
